ISIN,tk_data,date,close,open,high,low,volume
CA135087R226,"1,130654501,1330,184",2026-01-16 08:44,100.07,100.07,100.07,100.07,0
CA135087R226,"1,130654501,1330,184",2026-01-16 10:44,100.07,100.07,100.07,100.07,0
CA135087R226,"1,130654501,1330,184",2026-01-16 12:44,100.07,100.07,100.07,100.07,0
CA135087R226,"1,130654501,1330,184",2026-01-16 14:44,100.07,100.07,100.07,100.07,0
CA135087R226,"1,130654501,1330,184",2026-01-16 16:44,100.07,100.07,100.07,100.07,0
CA135087R226,"1,130654501,1330,184",2026-01-16 18:44,100.07,100.07,100.07,100.07,0
CA135087R226,"1,130654501,1330,184",2026-01-16 20:44,100.07,100.07,100.07,100.07,0
CA135087R226,"1,130654501,1330,184",2026-01-16 22:44,100.07,100.07,100.07,100.07,0
CA135087R226,"1,130654501,1330,184",2026-01-19 07:44,100.05,100.05,100.05,100.05,0
CA135087R226,"1,130654501,1330,184",2026-01-19 08:44,100.05,100.05,100.05,100.05,0
CA135087R226,"1,130654501,1330,184",2026-01-19 10:44,100.05,100.05,100.05,100.05,0
CA135087R226,"1,130654501,1330,184",2026-01-19 12:44,100.05,100.05,100.05,100.05,0
CA135087R226,"1,130654501,1330,184",2026-01-19 14:44,100.05,100.05,100.05,100.05,0
CA135087R226,"1,130654501,1330,184",2026-01-19 16:44,100.05,100.05,100.05,100.05,0
CA135087R226,"1,130654501,1330,184",2026-01-19 18:44,100.05,100.05,100.05,100.05,0
CA135087R226,"1,130654501,1330,184",2026-01-19 20:44,100.05,100.05,100.05,100.05,0
CA135087R226,"1,130654501,1330,184",2026-01-19 22:44,100.05,100.05,100.05,100.05,0
CA135087L518,"1,57601476,1330,184",2026-01-05 06:44,99.69,0.0,0.0,0.0,0
CA135087L518,"1,57601476,1330,184",2026-01-05 07:44,99.69,99.69,99.69,99.69,0
CA135087L518,"1,57601476,1330,184",2026-01-05 08:44,99.69,99.69,99.69,99.69,0
CA135087L518,"1,57601476,1330,184",2026-01-05 10:44,99.69,99.69,99.69,99.69,0
CA135087L518,"1,57601476,1330,184",2026-01-05 12:44,99.7,99.7,99.7,99.7,0
CA135087L518,"1,57601476,1330,184",2026-01-05 14:44,99.7,99.7,99.7,99.7,0
CA135087L518,"1,57601476,1330,184",2026-01-05 16:44,99.7,99.7,99.7,99.7,0
CA135087L518,"1,57601476,1330,184",2026-01-05 18:44,99.7,99.7,99.7,99.7,0
CA135087L518,"1,57601476,1330,184",2026-01-05 20:44,99.7,99.7,99.7,99.7,0
CA135087L518,"1,57601476,1330,184",2026-01-05 22:44,99.7,99.7,99.7,99.7,0
CA135087L518,"1,57601476,1330,184",2026-01-06 07:44,99.7,99.7,99.7,99.7,0
CA135087L518,"1,57601476,1330,184",2026-01-06 08:44,99.7,99.7,99.7,99.7,0
CA135087L518,"1,57601476,1330,184",2026-01-06 10:44,99.7,99.7,99.7,99.7,0
CA135087L518,"1,57601476,1330,184",2026-01-06 14:44,99.71,99.71,99.71,99.71,0
CA135087L518,"1,57601476,1330,184",2026-01-06 16:44,99.71,99.71,99.71,99.71,0
CA135087L518,"1,57601476,1330,184",2026-01-06 18:44,99.71,99.71,99.71,99.71,0
CA135087L518,"1,57601476,1330,184",2026-01-06 20:44,99.71,99.71,99.71,99.71,0
CA135087L518,"1,57601476,1330,184",2026-01-06 22:44,99.71,99.71,99.71,99.71,0
CA135087L518,"1,57601476,1330,184",2026-01-07 07:44,99.7,99.7,99.7,99.7,0
CA135087L518,"1,57601476,1330,184",2026-01-07 08:44,99.7,99.7,99.7,99.7,0
CA135087L518,"1,57601476,1330,184",2026-01-07 10:44,99.7,99.7,99.7,99.7,0
CA135087L518,"1,57601476,1330,184",2026-01-07 12:44,99.71,99.71,99.71,99.71,0
CA135087L518,"1,57601476,1330,184",2026-01-07 14:44,99.71,99.71,99.71,99.71,0
CA135087L518,"1,57601476,1330,184",2026-01-07 16:44,99.71,99.71,99.71,99.71,0
CA135087L518,"1,57601476,1330,184",2026-01-07 18:44,99.71,99.71,99.71,99.71,0
CA135087L518,"1,57601476,1330,184",2026-01-07 20:44,99.71,99.71,99.71,99.71,0
CA135087L518,"1,57601476,1330,184",2026-01-07 22:44,99.71,99.71,99.71,99.71,0
CA135087L518,"1,57601476,1330,184",2026-01-08 07:44,99.71,99.71,99.71,99.71,0
CA135087L518,"1,57601476,1330,184",2026-01-08 08:44,99.71,99.71,99.71,99.71,0
CA135087L518,"1,57601476,1330,184",2026-01-08 10:44,99.71,99.71,99.71,99.71,0
CA135087L518,"1,57601476,1330,184",2026-01-08 12:44,99.72,99.72,99.72,99.72,0
CA135087L518,"1,57601476,1330,184",2026-01-08 14:44,99.72,99.72,99.72,99.72,0
CA135087L518,"1,57601476,1330,184",2026-01-08 16:44,99.72,99.72,99.72,99.72,0
CA135087L518,"1,57601476,1330,184",2026-01-08 18:44,99.72,99.72,99.72,99.72,0
CA135087L518,"1,57601476,1330,184",2026-01-08 20:44,99.72,99.72,99.72,99.72,0
CA135087L518,"1,57601476,1330,184",2026-01-08 22:44,99.72,99.72,99.72,99.72,0
CA135087L518,"1,57601476,1330,184",2026-01-09 07:44,99.72,99.72,99.72,99.72,0
CA135087L518,"1,57601476,1330,184",2026-01-09 08:44,99.72,99.72,99.72,99.72,0
CA135087L518,"1,57601476,1330,184",2026-01-09 10:44,99.72,99.72,99.72,99.72,0
CA135087L518,"1,57601476,1330,184",2026-01-09 12:44,99.73,99.73,99.73,99.73,0
CA135087L518,"1,57601476,1330,184",2026-01-09 14:44,99.73,99.73,99.73,99.73,0
CA135087L518,"1,57601476,1330,184",2026-01-09 16:44,99.73,99.73,99.73,99.73,0
CA135087L518,"1,57601476,1330,184",2026-01-09 18:44,99.73,99.73,99.73,99.73,0
CA135087L518,"1,57601476,1330,184",2026-01-09 20:44,99.73,99.73,99.73,99.73,0
CA135087L518,"1,57601476,1330,184",2026-01-09 22:44,99.73,99.73,99.73,99.73,0
CA135087L518,"1,57601476,1330,184",2026-01-12 07:44,99.73,99.73,99.73,99.73,0
CA135087L518,"1,57601476,1330,184",2026-01-12 08:44,99.73,99.73,99.73,99.73,0
CA135087L518,"1,57601476,1330,184",2026-01-12 10:44,99.73,99.73,99.73,99.73,0
